"à";"interrogative particle; initial particle";2 13
"hết đau";"it doesn’t hurt any longer";12
"hết sức";"extremely";13
"hiện đại";"modern, contemporary";10
"hiện giờ";"now";7
"hiểu";"to understand";1
"hiệu";"store, shop";3
"hiệu ăn";"restaurant";11
"hiệu sách";"bookstore";2
"hình như";"it seems, it appears, apparently";12
"ho";"(to) cough";12
"họ";"they; last name";1 10
"hoa";"flower";3
"hoa hồng";"rose";10
"hoa quả";"fruits (collective noun)";11
"hoạt động";"activity";9
"hoặc";"or";8
"học";"to study, learn";2
"học bổng";"scholarship";12
"học kỳ";"semester";8
"học sinh";"student, pupil (in an elementary or high school)";4
"hỏi";"to ask (a question)";1
"hỏng";"to break down; decayed (of the teeth)";12
"họng";"throat";12
"họp";"to meet, have a meeting,";8
"hồ";"lake";9
"hội";"association";11 10
"hôm kia";"the day before yesterday";5
"hôm nào";"some day (in the future)";10
"hôm nay";"today";5
"hôm qua";"yesterday";5
"hồng";"pink";10
"hộp";"box";11
"hở";"polite particle, used before a personal pronoun in questions";10
"hơi";"a little";9
"hơn";"more than, over; used to form the comparative of adjectives and adverbs";8
"hơn nữa";"furthermore";12
"hợp đồng";"contract, agreement";12
"hợp lại";"to merge, become united";11
"hút";"to smoke";12
"huyết áp cao";"high blood pressure";12
"hương thơm";"fragrance";12
"hướng";"direction";14
"ít";"little, few";3
"kém";"weak (in/at something); to, before (temporal preposition)";3 6
"kéo dài";"to last (for a long time)";14
"kéo đến";"to draw near";14
"kẻo";"otherwise, if not, or else";10
"kể cả";"including";13
"kết thúc";"to (come to an) end, finish";10
"kia";"there; that";1 2
"kìa";"there, overthere";10
"kiểm tra";"to check, to test, to examine";8
"bài kiểm tra";"test, quiz";8
"kiến trúc";"architecture";10
"kinh đô";"capital (in the past, not present day)";10
"kinh tế";"economy, economics";10
"kính";"glasses";11
"kính râm";"sunglasses";11
"kịp";"to have enough time to do something on time";14
"ký";"to sign";12
"ký túc xá";"dormitory";9
"kỷ niệm";"memory; to commemorate";14
"làm kỷ niệm";"to remember";14
"kỹ sư";"engineer";1
"kỹ thuật";"technology";7
"khá";"well, good; rather, pretty";9 3
"khác";"another, different";8
"khác nhau";"different, various";9 14
"khách";"guest";10
"khách du lịch";"tourists";10
"khách hàng";"customer";11
"khách sạn";"hotel";10
"khám";"to examine (a patient)";12
"khám bệnh";"to examine (a patient)";12
"khám cho";"to examine (a patient)";12
"khám bệnh cho";"to examine (a patient)";12
"khám sức khoẻ";"check-up (a general physical examination)";12
"khen";"to praise";3
"khen quá lời";"to flatter someone too much";3
"khi";"when";9
"khi nào?";"when?";5
"khi nào";"whenever, when (conjunction)";10
"khi nào đấy";"sometime";14
"khi nào đó";"sometime";14
"khí hậu";"climate";10
"khiêu vũ";"to dance";9
"khó";"difficult, hard";1
"khó chịu";"unpleasant";14
"khoa";"faculty, school";8
"khoa học";"science";8
"khoá";"lock; to lock";10
"khoảng";"approximately, about";8
"khoẻ";"well, fine, healthy, strong";1
"khỏi";"out of; to get better, recover";10 12
"khô";"dry";14
"không";"no, not; zero";1 2
"không có gì";"no problem (reply to a thank you)";10
"không có nhà";"not to be at home";4
"không còn … nữa";"no longer, not any more";10
"không dám";"you are welcome (reply to a thank you)";10
"không … mà …";"not … but …";13
"không mất tiền";"for free";10
"khu";"area";9
"khu thể thao";"sport area, athletic center";9
"khu phố";"area (in a city)";11
"khuyên";"to advise, suggest, recommend";12
"là";"to be; then, yet; that";13 1 10
"lá";"leaf";12
"lái xe";"to drive; driver";1 2
"lại";"to come over; again; moreover, in addition";8 10 5
"làm";"to do, to make; to make (put someone into a certain state); to make someone be/ become";4 14 12
"làm cho";"to make (put someone into a certain state); to make someone be/ become";14 12
"làm gì?";"for what purpose?";9
"làm ơn";"please";10
"làm quen";"to meet, to be introduced";7
"làm quen với";"to meet, to be introduced";7
"làm việc";"to work";3
"lạnh";"cold";9
"Lào";"Laos";14
"lắm";"very";3
"lần";"time";3
"lần sau";"next time";8
"lần trước";"last time";8
"lập gia đình";"to get married";7
"lâu";"long";4
"Lâu chưa?";"How long have you had this problem?";12
"lâu ngày";"for a long time";4
"lây";"to transmit (of a disease); infectious, contagious";12
"lầy lội";"muddy";14
"lấy";"to take; to take money (informal)";11 6
